gpu_fps,cpu_fps
0.2,0.6
21.7,6.6
22.7,6.3
18.4,7
17,6.9
15.9,6.8
18.2,6.5
16.7,7.1
13.7,6.9
16.7,7
17.5,7.1
15.9,6.8
16.1,7.5
17.5,6.8
13.3,6.7
16.4,6.4
17.2,6.5
17.2,5.7
15.4,6.2
15.9,6.9
13.5,6.4
17.3,6.5
17.9,6.7
15.5,6.9
20.3,6.9
16.8,7.3
14,6.9
16.3,7.3
16,7
13.7,6.7
17,7
17.3,6.5
13.3,7
17,7
16.7,6.9
17.5,7
21.3,6.5
21.3,6.6
13.1,7.9
16.7,7.4
17.3,6.6
16.4,7.5
17.2,7.2
17,6.7
11.5,7
21.3,7.4
16.1,7.2
17.1,6.8
17.4,7.3
17,7.2
12.7,6.8
18.5,7.1
22.2,7.3
20.9,7.1
15.6,7.2
16.4,6.8
14.1,7.6
16.4,7.2
17.6,6.4
17,7.2
17.8,6.9
19,7.2
11.3,7.1
22.2,7
21.3,6.7
15.9,6.6
17.1,6.8
16.9,6.8
14,7.1
14.8,6.8
15.2,6.9
18.8,7.2
20,6.5
16,7
11.2,7
17.1,7.2
16.6,7.1
16.7,6.4
19.5,7.1
16,7.5
11.4,7.8
22.3,6.9
16,7.5
15.5,6.6
17.1,7
16.4,6.9
13.2,7.6
17.5,7.6
16,7.3
16.7,6.5
17.5,7.1
20.8,7.3
11.2,7.6
21.5,6.9
16.1,7.6
17,7.4
17.2,8
18.7,7.6
11.7,6.9
20.8,6.3
16.7,7.8
16.4,7.1
16.4,7.5
17.9,6.6
13.5,7.6
16.7,6.7
16.7,6.8
17.2,6.5
16.4,6.8
16.4,6.9
14.1,7.1
20.9,7.1
21.3,7.3
18.6,7.9
14,6.4
15.9,6.9
13.3,7.2
17.6,6.6
15.6,7
17.6,7.5
13.7,6.5
21.8,7
14.3,7.8
15.9,7.5
17.9,6.6
17,7.2
16.4,6.5
17.6,7.1
12.5,7.3
17.5,6.9
17.2,7.4
19.4,7.2
14.4,6.8
16.7,7.4
12.6,7
18.2,6.5
20.6,6.8
17.1,6.9
17.3,7.2
16.7,6.8
13.3,6.7
16.4,7.2
17.3,7.7
17,7.2
16.9,7.6
16.4,6.9
13.7,6.3
17,7
16.8,6.8
16.7,7.1
17,6.5
17.6,6.8
13.3,6.7
19.5,7.2
14,7.1
16.7,6.9
17.2,6.8
