Time,CPU_FPS
0:00:01,0.6
0:00:02,6.6
0:00:03,6.3
0:00:04,7
0:00:05,6.9
0:00:06,6.8
0:00:07,6.5
0:00:08,7.1
0:00:09,6.9
0:00:10,7
0:00:11,7.1
0:00:12,6.8
0:00:13,7.5
0:00:14,6.8
0:00:15,6.7
0:00:16,6.4
0:00:17,6.5
0:00:18,5.7
0:00:19,6.2
0:00:20,6.9
0:00:21,6.4
0:00:22,6.5
0:00:23,6.7
0:00:24,6.9
0:00:25,6.9
0:00:26,7.3
0:00:27,6.9
0:00:28,7.3
0:00:29,7
0:00:30,6.7
0:00:31,7
0:00:32,6.5
0:00:33,7
0:00:34,7
0:00:35,6.9
0:00:36,7
0:00:37,6.5
0:00:38,6.6
0:00:39,7.9
0:00:40,7.4
0:00:41,6.6
0:00:42,7.5
0:00:43,7.2
0:00:44,6.7
0:00:45,7
0:00:46,7.4
0:00:47,7.2
0:00:48,6.8
0:00:49,7.3
0:00:50,7.2
0:00:51,6.8
0:00:52,7.1
0:00:53,7.3
0:00:54,7.1
0:00:55,7.2
0:00:56,6.8
0:00:57,7.6
0:00:58,7.2
0:00:59,6.4
0:01:00,7.2
0:01:01,6.9
0:01:02,7.2
0:01:03,7.1
0:01:04,7
0:01:05,6.7
0:01:06,6.6
0:01:07,6.8
0:01:08,6.8
0:01:09,7.1
0:01:10,6.8
0:01:11,6.9
0:01:12,7.2
0:01:13,6.5
0:01:14,7
0:01:15,7
0:01:16,7.2
0:01:17,7.1
0:01:18,6.4
0:01:19,7.1
0:01:20,7.5
0:01:21,7.8
0:01:22,6.9
0:01:23,7.5
0:01:24,6.6
0:01:25,7
0:01:26,6.9
0:01:27,7.6
0:01:28,7.6
0:01:29,7.3
0:01:30,6.5
0:01:31,7.1
0:01:32,7.3
0:01:33,7.6
0:01:34,6.9
0:01:35,7.6
0:01:36,7.4
0:01:37,8
0:01:38,7.6
0:01:39,6.9
0:01:40,6.3
0:01:41,7.8
0:01:42,7.1
0:01:43,7.5
0:01:44,6.6
0:01:45,7.6
0:01:46,6.7
0:01:47,6.8
0:01:48,6.5
0:01:49,6.8
0:01:50,6.9
0:01:51,7.1
0:01:52,7.1
0:01:53,7.3
0:01:54,7.9
0:01:55,6.4
0:01:56,6.9
0:01:57,7.2
0:01:58,6.6
0:01:59,7
0:02:00,7.5
0:02:01,6.5
0:02:02,7
0:02:03,7.8
0:02:04,7.5
0:02:05,6.6
0:02:06,7.2
0:02:07,6.5
0:02:08,7.1
0:02:09,7.3
0:02:10,6.9
0:02:11,7.4
0:02:12,7.2
0:02:13,6.8
0:02:14,7.4
0:02:15,7
0:02:16,6.5
0:02:17,6.8
0:02:18,6.9
0:02:19,7.2
0:02:20,6.8
0:02:21,6.7
0:02:22,7.2
0:02:23,7.7
0:02:24,7.2
0:02:25,7.6
0:02:26,6.9
0:02:27,6.3
0:02:28,7
0:02:29,6.8
0:02:30,7.1
0:02:31,6.5
0:02:32,6.8
0:02:33,6.7
0:02:34,7.2
0:02:35,7.1
0:02:36,6.9
0:02:37,6.8
0:02:38,6.5
0:02:39,6.9
0:02:40,7.6
0:02:41,7.5
0:02:42,7.8
0:02:43,7.8
0:02:44,6.9
0:02:45,7
0:02:46,7.3
0:02:47,6.8
0:02:48,6.9
0:02:49,7
0:02:50,6.5
0:02:51,6.8
0:02:52,6.7
0:02:53,7.1
0:02:54,7.5
0:02:55,6.4
0:02:56,8
0:02:57,7.7
0:02:58,6.5
0:02:59,6.5
0:03:00,7.2
0:03:01,6.5
0:03:02,7.4
0:03:03,7
0:03:04,7.3
0:03:05,6.8
0:03:06,6.5
0:03:07,6.8
0:03:08,7.2
0:03:09,6.8
0:03:10,6.5
0:03:11,7.1
0:03:12,6.7
0:03:13,6.8
0:03:14,6.5
0:03:15,7.8
0:03:16,7.1
0:03:17,7.3
0:03:18,6.9
0:03:19,6.3
0:03:20,7
0:03:21,6.9
0:03:22,7.9
0:03:23,7.3
0:03:24,6.8
0:03:25,7.1
0:03:26,6.8
0:03:27,7
0:03:28,6.9
0:03:29,7.6
0:03:30,7.4
0:03:31,6.6
0:03:32,6.7
0:03:33,7.9
0:03:34,7.2
0:03:35,6.7
0:03:36,7.9
0:03:37,6.9
0:03:38,7.1
0:03:39,6.6
0:03:40,6.9
0:03:41,7.3
0:03:42,7
0:03:43,7
0:03:44,7.7
0:03:45,6.6
0:03:46,7.5
0:03:47,8.2
0:03:48,6.7
0:03:49,7.1
0:03:50,6.9
0:03:51,7.4
0:03:52,7
0:03:53,7.1
0:03:54,6.7
0:03:55,7.2
0:03:56,7.1
0:03:57,6.5
0:03:58,6.8
0:03:59,6.3
0:04:00,7.2
0:04:01,6.5
0:04:02,6.6
0:04:03,6.6
0:04:04,7.2
0:04:05,6.5
0:04:06,6.1
0:04:07,6.8
0:04:08,6.6
0:04:09,6.6
0:04:10,6.8
0:04:11,6.8
0:04:12,6.6
0:04:13,6.3
0:04:14,5.9
0:04:15,7.9
0:04:16,7.6
0:04:17,6.5
0:04:18,6.8
0:04:19,6.4
0:04:20,6.6
0:04:21,6.8
0:04:22,6.6
0:04:23,6.8
0:04:24,6.9
0:04:25,6.4
0:04:26,7.4
0:04:27,6.7
0:04:28,7.1
0:04:29,7.1
0:04:30,7.6
0:04:31,6.5
