Time,GPU_FPS
0:00:01,0.2
0:00:02,21.7
0:00:03,22.7
0:00:04,18.4
0:00:05,17
0:00:06,15.9
0:00:07,18.2
0:00:08,16.7
0:00:09,13.7
0:00:10,16.7
0:00:11,17.5
0:00:12,15.9
0:00:13,16.1
0:00:14,17.5
0:00:15,13.3
0:00:16,16.4
0:00:17,17.2
0:00:18,17.2
0:00:19,15.4
0:00:20,15.9
0:00:21,13.5
0:00:22,17.3
0:00:23,17.9
0:00:24,15.5
0:00:25,20.3
0:00:26,16.8
0:00:27,14
0:00:28,16.3
0:00:29,16
0:00:30,13.7
0:00:31,17
0:00:32,17.3
0:00:33,13.3
0:00:34,17
0:00:35,16.7
0:00:36,17.5
0:00:37,21.3
0:00:38,21.3
0:00:39,13.1
0:00:40,16.7
0:00:41,17.3
0:00:42,16.4
0:00:43,17.2
0:00:44,17
0:00:45,11.5
0:00:46,21.3
0:00:47,16.1
0:00:48,17.1
0:00:49,17.4
0:00:50,17
0:00:51,12.7
0:00:52,18.5
0:00:53,22.2
0:00:54,20.9
0:00:55,15.6
0:00:56,16.4
0:00:57,14.1
0:00:58,16.4
0:00:59,17.6
0:01:00,17
0:01:01,17.8
0:01:02,19
0:01:03,11.3
0:01:04,22.2
0:01:05,21.3
0:01:06,15.9
0:01:07,17.1
0:01:08,16.9
0:01:09,14
0:01:10,14.8
0:01:11,15.2
0:01:12,18.8
0:01:13,20
0:01:14,16
0:01:15,11.2
0:01:16,17.1
0:01:17,16.6
0:01:18,16.7
0:01:19,19.5
0:01:20,16
0:01:21,11.4
0:01:22,22.3
0:01:23,16
0:01:24,15.5
0:01:25,17.1
0:01:26,16.4
0:01:27,13.2
0:01:28,17.5
0:01:29,16
0:01:30,16.7
0:01:31,17.5
0:01:32,20.8
0:01:33,11.2
0:01:34,21.5
0:01:35,16.1
0:01:36,17
0:01:37,17.2
0:01:38,18.7
0:01:39,11.7
0:01:40,20.8
0:01:41,16.7
0:01:42,16.4
0:01:43,16.4
0:01:44,17.9
0:01:45,13.5
0:01:46,16.7
0:01:47,16.7
0:01:48,17.2
0:01:49,16.4
0:01:50,16.4
0:01:51,14.1
0:01:52,20.9
0:01:53,21.3
0:01:54,18.6
0:01:55,14
0:01:56,15.9
0:01:57,13.3
0:01:58,17.6
0:01:59,15.6
0:02:00,17.6
0:02:01,13.7
0:02:02,21.8
0:02:03,14.3
0:02:04,15.9
0:02:05,17.9
0:02:06,17
0:02:07,16.4
0:02:08,17.6
0:02:09,12.5
0:02:10,17.5
0:02:11,17.2
0:02:12,19.4
0:02:13,14.4
0:02:14,16.7
0:02:15,12.6
0:02:16,18.2
0:02:17,20.6
0:02:18,17.1
0:02:19,17.3
0:02:20,16.7
0:02:21,13.3
0:02:22,16.4
0:02:23,17.3
0:02:24,17
0:02:25,16.9
0:02:26,16.4
0:02:27,13.7
0:02:28,17
0:02:29,16.8
0:02:30,16.7
0:02:31,17
0:02:32,17.6
0:02:33,13.3
0:02:34,19.5
0:02:35,14
0:02:36,16.7
0:02:37,17.2
0:02:38,16.1
0:02:39,16.9
0:02:40,16.3
0:02:41,16.7
0:02:42,19.1
0:02:43,14.7
0:02:44,22
0:02:45,13.4
0:02:46,17
0:02:47,19.7
0:02:48,14.6
0:02:49,16.3
0:02:50,16
0:02:51,13.5
0:02:52,16.5
0:02:53,16.7
0:02:54,16.7
0:02:55,19.1
0:02:56,16.6
0:02:57,15.4
0:02:58,14.5
0:02:59,15.2
0:03:00,14.8
0:03:01,17.3
0:03:02,21.5
0:03:03,13.4
0:03:04,16.1
0:03:05,16
0:03:06,16.8
0:03:07,17.3
0:03:08,16.1
0:03:09,15
0:03:10,14.5
0:03:11,14.9
0:03:12,23
0:03:13,15.9
0:03:14,20.4
0:03:15,13.2
0:03:16,15.9
0:03:17,16.6
0:03:18,16.3
0:03:19,22.2
0:03:20,18.7
0:03:21,13.3
0:03:22,17.2
0:03:23,15.6
0:03:24,20.2
0:03:25,21.2
0:03:26,16.5
0:03:27,14.1
0:03:28,14.6
0:03:29,16
0:03:30,15.5
0:03:31,16.9
0:03:32,18.2
0:03:33,12.4
0:03:34,15.9
0:03:35,15.9
0:03:36,16.7
0:03:37,23.1
0:03:38,18.2
0:03:39,12.4
0:03:40,14.3
0:03:41,15.9
0:03:42,20.9
0:03:43,13.3
0:03:44,18.8
0:03:45,11.9
0:03:46,15.2
0:03:47,20.8
0:03:48,20.9
0:03:49,20.6
0:03:50,14.9
0:03:51,11.6
0:03:52,19
0:03:53,21.3
0:03:54,18.7
0:03:55,13.4
0:03:56,15.9
0:03:57,13.7
0:03:58,15.4
0:03:59,20.3
0:04:00,16.6
0:04:01,17.2
0:04:02,17.5
0:04:03,12.9
0:04:04,20.3
0:04:05,21.3
0:04:06,16.2
0:04:07,21.1
0:04:08,18.2
0:04:09,14.5
0:04:10,16
0:04:11,16.7
0:04:12,19.7
